Date,Open,High,Low,Close,Volume
2015-04-30,965.34,969.24,944.75,959.0,3738054
2015-05-04,969.62,975.0,956.47,965.95,1890630
2015-05-05,973.52,987.32,973.13,980.08,3255070
2015-05-06,978.97,978.97,955.92,958.75,3394406
2015-05-07,959.47,994.05,955.11,990.74,3205028
2015-05-08,996.48,1007.38,979.47,983.74,3003664
2015-05-11,986.75,997.67,982.86,994.93,2573082
2015-05-12,996.48,998.43,978.19,982.04,2467386
2015-05-13,991.42,991.42,965.52,979.12,1863774
2015-05-14,980.91,980.91,967.29,972.84,1309050
2015-05-15,978.97,985.74,973.52,977.47,1461454
2015-05-18,978.62,982.96,972.0,981.07,4507752
2015-05-19,980.68,984.81,971.86,978.07,1957722
2015-05-20,980.91,1000.34,979.71,995.34,1897814
2015-05-21,995.32,1004.27,991.87,994.73,1579578
2015-05-22,992.59,1023.24,988.41,1019.02,2691632
2015-05-25,1019.84,1026.42,1006.49,1012.44,982978
2015-05-26,1014.0,1021.1,1007.73,1015.5,1961740
2015-05-27,1015.17,1024.96,1008.94,1017.99,1620690
2015-05-28,1013.57,1021.01,1005.14,1015.75,2763608
2015-05-29,1018.67,1030.97,1010.98,1016.06,4423532
2015-06-01,1015.73,1030.39,1015.3,1018.96,882264
2015-06-02,1018.28,1023.73,1008.36,1012.01,3935820
2015-06-03,1013.61,1022.02,1008.36,1016.3,1804684
2015-06-04,1018.71,1020.93,1007.58,1014.25,4131468
2015-06-05,1018.32,1025.0,1009.68,1011.97,2308534
2015-06-08,1017.53,1017.53,1006.4,1012.6,1570320
2015-06-09,1015.57,1017.53,1002.21,1006.4,2578914
2015-06-10,1008.1,1025.39,1007.24,1021.76,2763350
2015-06-11,1023.62,1026.57,1004.47,1010.19,1847336
2015-06-12,1010.42,1017.12,973.06,984.45,2571456
2015-06-15,984.26,990.21,974.71,984.06,2525176
2015-06-16,982.17,989.76,979.99,986.89,1267396
2015-06-17,990.42,993.63,982.88,987.6,1975720
2015-06-18,988.07,1000.36,985.32,993.98,2165046
2015-06-19,995.93,1003.78,992.82,1001.64,1999610
2015-06-22,1000.64,1021.46,1000.64,1018.12,1102002
2015-06-23,1021.46,1024.6,1008.58,1011.48,898318
2015-06-24,1013.6,1016.71,1005.29,1009.79,1170246
2015-06-25,1006.53,1010.85,999.52,1001.82,1930992
2015-06-26,1001.9,1020.03,1001.9,1018.63,1290102
2015-06-29,1010.46,1023.03,999.23,1018.67,1372756
2015-06-30,1015.57,1017.04,997.89,1002.19,1549952
2015-07-01,1007.28,1024.6,1004.47,1018.75,1279708
2015-07-02,1021.46,1022.62,1010.09,1012.72,1445880
2015-07-03,1010.87,1025.39,1009.68,1022.99,963470
2015-07-06,1013.72,1039.14,1013.72,1034.54,1182338
2015-07-07,1034.33,1039.89,1022.64,1027.85,1642836
2015-07-08,1020.66,1029.99,1013.8,1019.54,2667850
2015-07-09,1019.5,1020.77,984.79,991.01,3934122
2015-07-10,1005.35,1005.35,964.5,972.1,8263654
2015-07-13,972.51,989.48,972.51,985.93,2280308
2015-07-14,986.5,988.07,978.25,981.98,1703274
2015-07-15,982.57,1001.8,982.17,1000.15,2003660
2015-07-16,999.34,1005.3,992.63,997.97,1456608
2015-07-17,1000.56,1009.71,999.19,1007.48,1070526
2015-07-20,1009.48,1017.32,1004.72,1015.45,853786
2015-07-21,1014.21,1023.79,1005.98,1008.46,1274500
2015-07-22,1008.3,1011.45,992.57,995.33,1320628
2015-07-23,991.18,999.19,977.59,979.8,1496780
2015-07-24,983.3,990.78,981.18,986.31,1574972
2015-07-27,979.56,986.25,976.86,983.12,2003738
2015-07-28,984.09,991.77,981.2,985.09,1891188
2015-07-29,988.62,990.21,977.79,986.94,2413318
2015-07-30,990.61,990.9,973.58,976.67,2770574
2015-07-31,980.31,991.77,979.17,988.52,1963776
2015-08-03,985.62,994.13,984.64,988.07,1179324
2015-08-04,988.38,993.34,978.77,987.79,2342692
2015-08-05,992.16,1003.97,988.62,1002.85,988994
2015-08-06,1009.88,1016.96,1004.01,1013.15,2211366
2015-08-07,1013.03,1013.03,1002.79,1004.78,1188506
2015-08-10,1012.63,1019.33,1006.57,1012.67,1431182
2015-08-11,1015.0,1027.59,1000.86,1025.31,2200306
2015-08-12,1024.88,1059.64,1024.44,1051.89,3479784
2015-08-13,1051.22,1056.73,1006.33,1037.67,1406426
2015-08-14,1038.62,1070.65,1038.26,1064.29,2293964
2015-08-17,1059.13,1061.77,1045.31,1057.02,773644
2015-08-18,1065.75,1082.68,1059.09,1079.13,1916926
2015-08-19,1082.71,1083.84,1071.65,1076.26,1690070
2015-08-20,1080.75,1080.75,1052.0,1057.85,2349298
2015-08-21,1067.75,1074.8,1045.35,1053.64,3536080
2015-08-24,1039.01,1041.37,1011.49,1015.25,4692344
2015-08-25,1018.89,1032.32,998.26,1010.72,3925800
2015-08-26,1007.14,1039.01,988.99,1014.5,3216158
2015-08-27,1029.52,1029.52,1002.32,1013.68,5264798
2015-08-28,1027.2,1027.2,1007.0,1012.18,2744152
2015-08-31,1019.72,1019.72,996.51,1009.5,3692044
2015-09-01,1006.33,1028.07,996.1,999.01,2987602
2015-09-02,1007.79,1031.71,1003.18,1020.43,3765950
2015-09-03,1022.12,1029.56,1014.31,1025.86,2265074
2015-09-04,1028.15,1029.52,999.7,1002.97,2426396
2015-09-07,1005.15,1007.89,997.16,999.94,1759184
2015-09-08,1002.0,1009.52,993.54,1000.15,1787746
2015-09-09,1009.07,1013.42,1001.61,1003.87,2045076
2015-09-10,1000.82,1015.19,994.92,1002.16,2665818
2015-09-11,1002.59,1011.22,1000.27,1004.76,1592672
2015-09-14,1009.88,1009.88,1001.22,1004.62,1589318
2015-09-15,1004.62,1007.48,998.46,998.95,1379900
2015-09-16,1005.94,1009.88,1000.45,1004.11,1756816
2015-09-18,1009.88,1018.14,999.64,1004.46,2455294
2015-09-21,1003.97,1006.77,997.36,1004.38,1108840
2015-09-22,1006.92,1012.79,980.35,994.84,2081246
2015-09-23,997.79,1007.02,989.25,997.14,1228352
2015-09-24,998.26,1019.72,996.06,1015.94,2354254
2015-09-28,1021.29,1031.14,1015.59,1021.18,2366812
2015-09-29,1017.1,1037.04,1011.79,1019.03,3325952
2015-09-30,1040.86,1040.86,1012.22,1018.95,3368336
2015-10-01,1023.26,1043.32,1020.59,1041.22,2834408
2015-10-05,1044.41,1090.59,1044.41,1067.62,4807306
2015-10-06,1072.87,1073.27,1056.73,1063.03,3979590
2015-10-07,1060.65,1069.72,1042.14,1044.9,2065530
2015-10-08,1051.22,1054.5,1031.53,1036.96,2357550
2015-10-09,1043.54,1043.58,1026.81,1035.33,2249724
2015-10-12,1045.31,1047.42,1018.54,1020.74,2455912
2015-10-13,1024.76,1028.38,1010.9,1023.09,6179712
2015-10-14,1003.18,1003.18,976.41,977.87,8337128
2015-10-15,980.35,985.66,970.51,971.59,3215710
2015-10-16,976.77,981.14,972.47,973.26,2333828
2015-10-19,980.35,982.3,966.9,979.86,3130642
2015-10-20,982.81,996.1,982.55,994.82,2695084
2015-10-21,998.07,1000.82,993.05,996.1,1929688
2015-10-23,1005.37,1005.37,997.2,1001.09,2335398
2015-10-26,1005.76,1005.76,992.39,1000.85,1414630
2015-10-27,998.29,1004.15,994.46,998.7,1530420
2015-10-28,990.4,999.67,990.4,997.91,1255342
2015-10-29,999.67,1000.4,982.5,984.6,3130316
2015-10-30,986.43,991.13,980.51,984.54,1516696
2015-11-02,986.43,995.43,981.52,993.28,1319294
2015-11-03,997.48,1005.29,993.73,1003.57,1364906
2015-11-04,1004.19,1005.05,994.32,999.77,991434
2015-11-05,998.58,1000.22,978.54,979.58,1596098
2015-11-06,983.27,993.63,979.9,988.7,908024
2015-11-09,984.46,987.52,974.04,975.13,2021556
2015-11-10,975.76,977.36,966.7,969.92,1361920
2015-11-13,961.99,961.99,941.67,945.95,2743232
2015-11-16,943.03,943.03,929.61,936.95,2043528
2015-11-17,939.28,946.36,937.11,943.24,1985028
2015-11-18,942.59,942.59,925.67,927.82,1520352
2015-11-19,933.3,939.71,928.03,932.2,1866906
2015-11-20,933.75,956.27,931.96,946.32,2012126
2015-11-23,949.06,952.26,939.97,943.44,1088082
2015-11-24,939.1,943.99,933.36,934.33,998640
2015-11-26,938.25,940.03,922.45,925.49,2915292
2015-11-27,926.46,930.97,920.34,928.57,1737206
2015-11-30,933.16,943.52,927.3,936.54,4100048
2015-12-01,932.33,938.31,930.03,931.94,1721994
2015-12-02,938.29,938.33,925.86,933.24,1640296
2015-12-03,931.19,936.32,926.06,927.54,2283358
2015-12-04,923.3,926.18,915.84,918.72,1246092
2015-12-07,920.22,924.84,913.53,915.33,1382604
2015-12-08,915.17,926.85,914.34,918.96,1139964
2015-12-09,922.47,936.24,915.41,934.21,5282806
2015-12-10,934.74,943.5,928.03,940.88,1723988
2015-12-11,940.27,943.8,932.47,941.45,1652378
2015-12-14,921.4,941.84,919.59,938.47,2718532
2015-12-15,938.47,941.05,932.39,937.44,1135868
2015-12-16,940.66,952.69,940.66,950.29,1435934
2015-12-17,952.89,964.73,944.35,962.66,1618844
2015-12-18,954.86,960.47,947.23,953.6,3024970
2015-12-21,954.84,966.7,949.68,965.28,1610104
2015-12-22,962.76,962.76,946.97,948.97,1560858
2015-12-23,952.89,960.78,951.14,957.15,849834
2015-12-24,955.26,962.05,948.55,960.49,843160
2015-12-28,958.02,973.17,954.94,971.71,3704198
2015-12-29,970.0,972.74,965.02,968.99,1708524
2015-12-30,967.9,970.25,951.83,954.19,1605762
2015-12-31,953.19,966.11,949.93,961.51,1240318
2016-01-01,962.36,962.36,951.81,953.44,712262
2016-01-04,950.98,952.5,933.58,934.98,1870184
2016-01-05,941.05,941.69,923.69,926.83,2678020
2016-01-06,927.32,941.51,927.32,939.71,2653228
2016-01-07,935.14,940.23,931.19,935.63,3199580
2016-01-08,941.05,949.87,936.12,946.03,1907544
2016-01-11,940.07,940.66,926.79,932.12,2930228
2016-01-12,932.26,933.16,908.15,918.19,3482594
2016-01-13,914.22,918.17,889.8,899.31,4746092
2016-01-14,896.86,907.08,887.79,899.15,2742052
2016-01-15,903.12,904.24,889.76,892.17,3269408
2016-01-18,892.52,904.32,891.73,898.7,2213922
2016-01-19,898.44,907.52,895.01,899.35,967910
2016-01-20,897.18,901.6,885.03,899.66,1615954
2016-01-21,903.78,905.72,888.25,891.71,2675536
2016-01-22,899.03,910.52,893.89,908.03,1343178
2016-01-25,910.46,925.14,906.35,911.55,1397560
2016-01-27,910.5,921.56,902.55,917.52,1626986
2016-01-28,915.84,929.05,912.89,922.05,3106660
2016-01-29,932.93,949.26,923.57,945.82,2235744
2016-02-01,945.74,954.38,933.05,950.33,1495274
2016-02-02,952.82,962.31,941.23,948.51,1475588
2016-02-03,944.32,961.09,933.56,955.71,1308692
2016-02-04,957.92,965.08,950.05,957.19,1250046
2016-02-05,952.47,965.06,952.47,957.94,1402996
2016-02-08,949.26,954.03,928.3,934.61,1063658
2016-02-09,923.0,923.0,892.15,902.35,2489610
2016-02-10,899.82,905.72,893.14,897.37,1890732
2016-02-11,901.8,905.36,858.94,869.35,1962408
2016-02-12,870.16,887.32,855.92,880.68,2172568
