Date,Close,High,Low,Open,Volume
2022-11-23,60.77,61.05,60.45,60.79,1745016
2022-11-24,61.46,61.61,61.0,61.0,1191747
2022-11-25,61.09,61.79,61.0,61.79,1328111
2022-11-28,61.44,61.58,60.1,60.1,1372688
2022-11-29,61.21,61.42,61.01,61.42,1383143
2022-11-30,61.32,61.44,61.08,61.38,656779
2022-12-01,62.53,62.98,62.0,62.0,2814423
2022-12-02,63.76,63.95,62.89,62.89,2931386
2022-12-05,65.11,65.31,64.0,64.0,2634912
2022-12-06,64.12,64.39,63.79,64.39,2345153
2022-12-07,63.83,64.14,63.8,64.0,1596473
2022-12-08,64.56,64.98,64.16,64.98,931355
2022-12-09,65.28,65.8,65.1,65.71,1803759
2022-12-12,66.11,66.25,65.0,65.0,1920959
2022-12-13,66.09,66.24,66.0,66.24,1087122
2022-12-14,66.68,67.03,66.51,66.51,1287396
2022-12-15,65.57,66.49,65.5,66.49,1503093
2022-12-16,64.91,65.75,64.77,65.68,1464378
2022-12-19,66.12,66.2,65.61,65.61,1140849
2022-12-20,67.01,67.19,65.49,65.9,1733723
2022-12-21,67.39,67.85,67.33,67.45,1662672
2022-12-22,66.92,67.6,66.75,67.51,3035686
2022-12-23,66.76,66.87,66.44,66.69,1178458
2022-12-26,66.72,67.0,66.67,66.85,483561
2022-12-27,67.97,68.0,66.95,67.24,1206472
2022-12-28,66.96,67.79,66.81,67.79,1037369
2022-12-29,66.96,67.13,66.69,66.89,791712
2022-12-30,67.23,67.75,67.2,67.68,1278013
2023-01-02,67.67,67.78,67.33,67.78,589562
2023-01-03,68.67,68.9,67.98,67.98,1559415
2023-01-04,68.73,68.8,68.08,68.29,1075915
2023-01-05,66.92,67.89,66.4,67.89,2209592
2023-01-06,66.88,67.19,66.8,67.0,1217957
2023-01-09,67.95,68.5,67.51,67.51,877040
2023-01-10,67.08,68.01,66.7,68.0,794149
2023-01-11,67.54,67.69,67.02,67.08,674649
2023-01-12,67.15,67.5,66.89,67.5,1108209
2023-01-13,67.18,67.5,66.82,67.21,2143703
2023-01-16,68.26,68.35,68.01,68.01,1292119
2023-01-17,68.05,68.51,67.98,68.45,1284553
2023-01-18,68.2,68.38,67.85,68.01,795382
2023-01-19,66.74,68.07,66.53,68.07,1986369
2023-01-20,67.59,67.89,67.1,67.41,892881
2023-01-23,67.52,67.98,67.34,67.87,1476635
2023-01-24,67.31,67.7,67.02,67.7,808166
2023-01-25,67.25,67.39,67.1,67.3,620850
2023-01-27,67.47,67.86,67.32,67.86,755828
2023-01-30,67.45,67.68,67.36,67.46,514927
2023-01-31,66.98,67.57,66.92,67.57,787228
2023-02-01,68.71,69.1,67.5,67.75,2529810
2023-02-02,70.6,70.76,69.51,69.52,1564567
2023-02-03,68.88,69.48,68.61,69.48,1291238
2023-02-06,66.92,67.5,66.81,67.5,1781332
2023-02-07,66.81,66.95,66.62,66.7,1033795
2023-02-08,66.84,67.08,66.61,66.79,635053
2023-02-09,66.74,67.02,66.64,66.84,441182
2023-02-10,66.04,66.47,65.59,66.19,1220929
2023-02-13,65.62,66.0,65.51,66.0,665085
2023-02-14,65.56,65.95,65.46,65.79,550186
2023-02-15,64.8,65.47,64.72,65.47,852011
2023-02-16,64.98,66.3,64.82,66.3,1075574
2023-02-17,64.11,65.04,63.97,65.04,1315070
2023-02-20,65.33,65.44,64.5,64.5,720404
2023-02-21,65.12,67.3,64.96,67.3,540926
2023-02-22,65.22,65.48,65.14,65.43,2801263
2023-02-23,64.53,65.13,64.42,64.89,1033456
2023-02-24,63.9,64.71,63.69,64.71,977374
2023-02-27,62.91,63.96,62.29,63.96,1077495
2023-02-28,62.48,62.91,62.22,62.91,941958
2023-03-01,63.76,64.09,63.42,63.42,564090
2023-03-02,63.21,63.62,63.15,63.59,545485
2023-03-03,63.54,63.78,63.32,63.78,741512
2023-03-06,63.72,63.99,63.58,63.9,466229
2023-03-08,61.3,62.5,60.95,62.5,3576546
2023-03-09,60.94,61.49,60.88,61.49,2918665
2023-03-10,61.26,61.32,60.79,60.98,3710092
2023-03-13,63.1,63.37,61.98,61.98,2043903
2023-03-14,64.91,65.85,64.66,64.66,3281435
2023-03-15,65.4,65.65,65.1,65.31,1141797
2023-03-16,66.24,66.38,65.51,65.52,2627036
2023-03-17,65.89,66.29,65.75,66.11,1245181
2023-03-20,67.59,68.06,66.81,66.82,4585765
2023-03-21,67.36,67.97,67.15,67.6,1375348
2023-03-22,67.43,67.58,67.02,67.27,740204
2023-03-23,68.26,68.57,68.02,68.02,3425770
2023-03-24,68.98,69.15,68.53,68.56,1696490
2023-03-27,68.42,69.05,68.32,68.89,2230680
2023-03-28,68.31,68.72,68.14,68.58,1922457
2023-03-29,69.2,69.28,68.7,68.7,914488
2023-03-31,70.67,70.78,70.11,70.11,2649758
2023-04-03,70.39,70.52,68.55,69.01,3089356
2023-04-05,72.95,73.5,72.6,72.6,4591195
2023-04-06,73.22,73.35,72.55,72.9,2019373
2023-04-10,73.24,73.38,72.75,72.98,1369637
2023-04-11,73.57,73.76,73.12,73.2,1875856
2023-04-12,73.85,74.51,73.64,74.2,7650952
2023-04-13,74.86,75.0,74.42,74.47,1936956
2023-04-17,74.62,74.91,74.03,74.86,1425763
2023-04-18,73.68,73.98,73.14,73.98,1049139
2023-04-19,73.0,74.38,72.9,73.92,1413187
2023-04-20,74.57,74.78,73.8,73.81,2251078
2023-04-21,73.94,74.58,73.74,74.58,1070965
2023-04-24,73.67,73.78,73.14,73.57,1334225
2023-04-25,73.73,74.07,73.63,74.04,1109083
